id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
02020203,02,02,02,03,10920,4215,8303,6705,1598,2617,100.0,38.5989010989011,76.03479853479853,61.401098901098905,14.633699633699635,23.965201465201467
02020204,02,02,02,04,12564,5258,9225,7306,1919,3339,100.0,41.849729385546006,73.42406876790831,58.150270614453994,15.273798153454313,26.575931232091694
02020205,02,02,02,05,15003,6053,11298,8950,2348,3705,100.0,40.34526428047724,75.30493901219756,59.65473571952277,15.6502032926748,24.69506098780244
02020206,02,02,02,06,19041,8669,13820,10372,3448,5221,100.0,45.528071004674125,72.58022162701539,54.47192899532588,18.108292631689512,27.41977837298461
02030301,02,03,03,01,9040,5679,5638,3361,2277,3402,100.0,62.820796460176986,62.36725663716815,37.17920353982301,25.188053097345133,37.63274336283186
02030302,02,03,03,02,13131,7062,8821,6069,2752,4310,100.0,53.78112862691341,67.17690960322899,46.21887137308659,20.95803823014241,32.823090396771
02030401,02,03,04,01,15264,7390,10429,7874,2555,4835,100.0,48.414570230607964,68.32416142557652,51.585429769392036,16.738731656184484,31.67583857442348
02030402,02,03,04,02,11118,5548,7495,5570,1925,3623,100.0,49.90106134196798,67.41320381363555,50.09893865803202,17.314265155603525,32.58679618636445
02040501,02,04,05,01,5397,1361,4621,4036,585,776,100.0,25.217713544561793,85.62164165277005,74.78228645543821,10.839355197331852,14.378358347229941
02040502,02,04,05,02,7269,2002,5994,5267,727,1275,100.0,27.541615077727332,82.4597606273215,72.45838492227267,10.001375705048837,17.5402393726785
02040503,02,04,05,03,11101,2743,9303,8358,945,1798,100.0,24.70948563192505,83.80326096748041,75.29051436807495,8.512746599405459,16.19673903251959
02040701,02,04,07,01,12528,4752,9405,7776,1629,3123,100.0,37.93103448275862,75.07183908045977,62.06896551724138,13.00287356321839,24.92816091954023
02040702,02,04,07,02,10764,2686,8936,8078,858,1828,100.0,24.953548866592346,83.01746562616128,75.04645113340766,7.971014492753622,16.982534373838725
02040703,02,04,07,03,1170,800,473,370,103,697,100.0,68.37606837606837,40.427350427350426,31.62393162393162,8.803418803418804,59.572649572649574
02050601,02,05,06,01,8948,2643,7071,6305,766,1877,100.0,29.53732677693339,79.0232454179705,70.4626732230666,8.560572194903889,20.976754582029503
02050602,02,05,06,02,21484,6183,17189,15301,1888,4295,100.0,28.77955687953826,80.0083783280581,71.22044312046174,8.78793520759635,19.99162167194191
02050801,02,05,08,01,19292,6298,14683,12994,1689,4609,100.0,32.64565623056189,76.10926809040016,67.3543437694381,8.754924320962058,23.890731909599836
