id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
113008,11,30,08,100.0,393.0,501.0,141.0,738.0,1643.0,374.0,347.0,243.00000000000003,2160.0,2903.0
114009,11,40,09,100.0,966.0,978.9999999999999,252.99999999999997,1309.0,5151.0,926.0,560.0,384.0,5087.0,7513.0
114010,11,40,10,100.0,652.0,761.0,222.00000000000003,773.0,2677.0,671.0,426.0,344.0,3121.0,4504.0
114011,11,40,11,100.0,1202.0,1037.0,265.0,1443.0,3559.0000000000005,869.0,557.0,583.0,4855.0,6419.0
115012,11,50,12,100.0,169.0,165.0,51.0,123.0,503.0,112.00000000000001,63.0,26.0,636.0,740.0
115013,11,50,13,100.0,894.9999999999999,914.0,229.99999999999997,1094.0,3107.0,637.0,318.0,303.0,3640.9999999999995,5146.0
121001,12,10,01,100.0,1372.0,1794.0000000000002,623.0,1835.0000000000002,5276.0,1980.9999999999998,1405.0,1148.0,7384.0,9449.0
121002,12,10,02,100.0,1232.0,1511.0,416.0,1517.0,4736.0,1705.0,1232.0,1013.0000000000001,6414.0,7901.000000000001
122003,12,20,03,100.0,1311.0,1880.9999999999998,612.0,1907.0,4942.0,1982.0,1445.0,1202.0,7350.0,9387.0
122004,12,20,04,100.0,600.0,790.0,241.0,806.0,2209.0,953.9999999999999,696.0,621.0,3153.0,4028.0
122005,12,20,05,100.0,274.0,301.0,93.0,278.0,1070.0,380.0,287.0,321.0,1516.0,1786.0
124006,12,40,06,100.0,361.0,647.0,206.99999999999997,417.0,956.0,551.0,458.0,526.0,2174.0,1954.0
124007,12,40,07,100.0,509.99999999999994,793.0,273.0,434.99999999999994,1321.0,775.0,625.0,666.0,2913.0,2574.0
125008,12,50,08,100.0,373.0,403.0,143.0,442.0,1359.0,543.0,383.0,362.0,2004.0,2426.0
125009,12,50,09,100.0,853.9999999999999,1128.0,330.0,958.0,2954.0,1177.0,898.0,824.0,4305.0,4988.0
126010,12,60,10,100.0,491.0,728.0,216.0,520.0,1259.0,558.0,383.0,312.0,2202.0,2649.0
126011,12,60,11,100.0,1455.0,2414.0,772.0,1479.0,3875.0,1807.9999999999998,1241.0,1024.0,7063.0,7331.999999999999
126012,12,60,12,100.0,728.0,1335.0,425.0,859.0,2059.0,1073.0,726.0,563.0,3779.0,3957.0
