id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
02040502,02,04,05,02,7333,427,416,104,719,2717,894,707,1349,3755,1350,100.0,5.822991954179735,5.672985135687986,1.4182462839219965,9.804991135960725,37.051684167462156,12.19146324832947,9.641347333969726,18.396290740488205,51.20687303968362,18.409927723987455
02040503,02,04,05,03,11161,816,620,142,1005,4970,1389,880,1339,5549,1891,100.0,7.3111728339754505,5.555057790520563,1.2722874294418063,9.004569483021235,44.53006003046322,12.445121404892035,7.884598154287251,11.99713287339844,49.71776722515904,16.942926261087717
02040701,02,04,07,01,12662,749,723,233,1556,4103,1334,1271,2693,6483,3235,100.0,5.9153372295056075,5.7099984204707,1.840151634812826,12.288737956089085,32.40404359500869,10.535460432791028,10.037908703206444,21.26836202811562,51.20044226820407,25.54888643184331
02040702,02,04,07,02,10842,615,671,148,1057,4736,1466,934,1215,5240,1945,100.0,5.672385168788047,6.188895037815901,1.365061796716473,9.749123777900756,43.68197749492714,13.521490499907765,8.614646744143146,11.206419479800775,48.33056631617782,17.939494558199595
02040703,02,04,07,03,1164,96,105,23,186,607,68,54,25,505,696,100.0,8.24742268041237,9.02061855670103,1.9759450171821304,15.979381443298967,52.14776632302406,5.841924398625429,4.639175257731959,2.147766323024055,43.38487972508591,59.79381443298969
02050601,02,05,06,01,9065,628,442,93,961,4851,1020,557,513,4211,1967,100.0,6.9277440706012134,4.875896304467734,1.02592388306674,10.601213458356314,53.51351351351351,11.252068394925537,6.144511858797573,5.659128516271374,46.45339216767788,21.698841698841697
02050602,02,05,06,02,21634,1591,1398,346,2071,11123,2716,1346,1043,10460,4554,100.0,7.354164740685958,6.462050476102431,1.5993343810668395,9.572894517888509,51.414440232966626,12.554312656004438,6.221688083572155,4.821114911713044,48.3498197282056,21.050198761209206
02050801,02,05,08,01,19532,1261,1196,292,2236,10285,2265,1129,868,9296,4778,100.0,6.456072086831865,6.123284865861152,1.4949825926684415,11.447880401392586,52.65717796436616,11.596354699979521,5.780258038091337,4.443989350808929,47.59369240221176,24.462420643047306
02050802,02,05,08,02,21150,1431,1137,240,2228,11679,2627,1058,750,10104,4847,100.0,6.765957446808511,5.375886524822695,1.1347517730496455,10.534278959810875,55.219858156028366,12.42080378250591,5.002364066193853,3.546099290780142,47.77304964539007,22.91725768321513
02050803,02,05,08,03,7468,501,351,80,915,3879,737,515,490,3535,1722,100.0,6.708623460096412,4.700053561863953,1.0712372790573113,12.252276379217996,51.94161756829138,9.868773433315479,6.89608998393144,6.561328334226031,47.33529726834494,23.058382431708623
