id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0640,06,40,69576,2943,6486,2306,6533,11716,8732,10947,19913,36850,10794,100.0,4.229906864436012,9.322180062090377,3.3143612740025294,9.389732091525813,16.83913993331034,12.55030470277107,15.733873749568817,28.620501322295045,52.96366563182706,15.513970334598138
0710,07,10,50235,2387,3374,1153,5053,14966,6556,7542,9204,24190,15999,100.0,4.75166716432766,6.716432765999801,2.295212501244152,10.058723997213098,29.7919777047875,13.050661889121132,15.013436846819946,18.321887130486715,48.15367771474072,31.84831292923261
0720,07,20,52766,2864,3684,1054,5435,17275,6531,7491,8432,26550,13199,100.0,5.427737558276163,6.981768563089869,1.9974983891142024,10.300193306295721,32.73888488799606,12.377288405412576,14.196641776901792,15.97998711291362,50.316491680248646,25.01421369821476
0730,07,30,47014,2563,3590,1214,4778,12632,5727,7122,9388,24749,9364,100.0,5.451567618156294,7.636023312204874,2.582209554600757,10.162930191006934,26.868592334198322,12.18147785765942,15.148679116858807,19.968520015314585,52.64176628238397,19.917471391500406
0740,07,40,67548,3779,5248,1587,7376,20260,7800,9132,12366,34141,17542,100.0,5.594540178835791,7.7692899863800555,2.3494403979392433,10.919642328418309,29.993486113578495,11.547344110854503,13.519275182092736,18.30698170190087,50.543317344703034,25.969680819565344
0750,07,50,53559,2989,3982,1217,4830,13880,5845,7481,13335,27821,11147,100.0,5.580761403312235,7.434791538303553,2.2722604977688157,9.018092197389795,25.91534569353423,10.91319852872533,13.967773856868126,24.89777628409791,51.94458447693198,20.812561847681994
0760,07,60,84746,4806,7850,2520,7607,17623,9982,12449,21909,43781,14255,100.0,5.671064121020461,9.26297406367262,2.973591673943313,8.976234866542374,20.795081773771035,11.778727019564345,14.689778868619168,25.852547612866683,51.66143534798102,16.820852901611875
0810,08,10,163735,8887,12370,4059,16166,67418,20135,17301,17399,80112,58977,100.0,5.427672763917305,7.554890524322838,2.4790057104467587,9.873270833969523,41.1750694720127,12.29730967722234,10.566464103582007,10.626316914526521,48.92784071823373,36.01978807218982
0820,08,20,73779,4108,6330,1909,7271,18424,8769,10791,16177,37189,17186,100.0,5.567980048523292,8.579677143902737,2.5874571354992613,9.855107822008973,24.971875465918487,11.885495872809337,14.626113121619975,21.92629338971794,50.40594207023679,23.293891215657574
0830,08,30,38634,2557,3340,1039,3897,9155,4177,4953,9516,20207,8973,100.0,6.61852254490863,8.64523476730341,2.6893409949785165,10.086970026401614,23.696743800797226,10.811720246415074,12.82031371330952,24.63115390588601,52.30367034218564,23.225656157788478
0840,08,40,53869,3044,4804,1472,4788,10749,6359,8572,14081,27699,7909,100.0,5.650745326625703,8.917930535187214,2.7325549017059902,8.888228851473018,19.953962390242996,11.804562921160592,15.912677049880264,26.139338023724218,51.419183574968905,14.681913530973286
0910,09,10,65224,3610,4949,1343,5723,20846,7775,8708,12270,33344,10876,100.0,5.534772476389059,7.587697779958298,2.059058015454434,8.774377529743653,31.960627989697045,11.920458726849011,13.350913774070893,18.812093707837608,51.1222862749908,16.674843615846928
0920,09,20,74888,4642,5823,1561,9950,26727,7786,7972,10427,36317,18764,100.0,6.198589894242068,7.775611579959405,2.0844461061852364,13.286507851725244,35.68929601538297,10.396859309902789,10.645230210447602,13.923459032154684,48.495085995085994,25.056083751735926
0930,09,30,59178,3980,5905,1668,5031,14428,7164,9242,11760,29938,8560,100.0,6.7254723038967175,9.978370340329176,2.8186150258542026,8.501470140930751,24.380682010206495,12.105850147014092,15.617290209199364,19.8722498225692,50.5897461894623,14.464834904863293
0940,09,40,39280,2011,3219,1005,2810,8812,4368,6048,11007,20303,4597,100.0,5.119653767820774,8.19501018329939,2.5585539714867616,7.153767820773931,22.433808553971488,11.120162932790224,15.39714867617108,28.021894093686356,51.68788187372709,11.703156822810591
0950,09,50,55511,2900,4300,1339,3982,13452,6652,8434,14452,29009,5489,100.0,5.224189800219777,7.74621246239484,2.4121345318945795,7.173353029129362,24.233034893984975,11.983210534848949,15.193385094846064,26.03447965268145,52.25811100502603,9.888130280484948
1010,10,10,117814,6931,10593,3358,11551,30953,12057,14192,28179,58916,23575,100.0,5.88300202013343,8.991291357563618,2.8502554874632895,9.804437503182983,26.272768940872904,10.233928056088411,12.0461065747704,23.918210059924967,50.007639160031914,20.01035530582104
1020,10,20,92913,6707,9826,2792,9093,27541,9164,13420,14370,46776,23760,100.0,7.218580822920366,10.57548459311399,3.0049616307728737,9.786574537470537,29.641707834210496,9.862990109026724,14.44361929977506,15.466081172709956,50.34387007200284,25.572309579929613
