district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
4,30,4,12,1858,100.0,108.0,34.0,290.0,748.0,230.0,164.0,184.0,858.0,1372.0
4,30,4,13,4992,384.0,483.0,181.0,462.0,1506.0,713.0,584.0,679.0,2563.0,2721.0
4,30,4,14,4203,281.0,414.0,129.0,422.0,1400.0,639.0,426.0,492.0,2118.0,2460.0
4,30,4,15,2527,152.0,190.0,78.0,239.0,855.0,320.0,260.0,433.0,1299.0,1510.0
4,30,4,16,5056,330.0,414.0,127.0,577.0,1806.0,713.0,561.0,528.0,2504.0,3156.0
4,30,5,17,4538,323.0,351.0,106.0,510.0,1579.0,618.0,537.0,514.0,2235.0,2713.0
4,30,5,18,2784,185.0,278.0,73.0,276.0,1097.0,377.0,261.0,237.0,1321.0,1666.0
4,30,6,19,4032,252.0,362.0,101.0,400.0,1377.0,629.0,424.0,487.0,2008.0,2385.0
4,30,6,20,2044,126.0,168.0,37.0,245.0,835.0,259.0,189.0,185.0,960.0,1278.0
4,30,6,21,5276,360.0,446.0,145.0,503.0,1747.0,764.0,598.0,713.0,2636.0,3077.0
4,30,6,22,2984,218.0,245.0,84.0,270.0,1083.0,400.0,319.0,365.0,1543.0,1713.0
4,30,6,23,6656,404.0,505.0,163.0,805.0,2290.0,971.0,750.0,768.0,3204.0,4299.0
4,30,6,24,4414,255.0,290.0,96.0,480.0,1524.0,674.0,536.0,559.0,2217.0,2849.0
4,40,7,25,73,0.0,0.0,0.0,10.0,34.0,20.0,9.0,0.0,21.0,61.0
4,40,7,26,2329,170.0,304.0,93.0,230.0,696.0,359.0,225.0,252.0,1187.0,1285.0
4,40,7,27,3289,235.0,353.0,92.0,309.0,1078.0,498.0,341.0,383.0,1679.0,1809.0
4,40,7,28,1169,88.0,151.0,50.0,90.0,268.0,201.0,151.0,170.0,629.0,617.0
4,40,7,29,1051,91.0,130.0,51.0,73.0,217.0,168.0,147.0,174.0,559.0,555.0
4,40,8,30,2847,281.0,367.0,100.0,241.0,912.0,395.0,281.0,270.0,1442.0,1511.0
4,40,8,31,425,38.0,62.0,9.0,51.0,87.0,80.0,34.0,64.0,224.0,221.0
4,40,8,32,1878,141.0,199.0,62.0,220.0,544.0,288.0,213.0,211.0,969.0,1040.0
4,40,8,33,1533,129.0,149.0,36.0,106.0,423.0,228.0,202.0,260.0,779.0,850.0
4,40,8,34,1170,98.0,124.0,36.0,81.0,345.0,163.0,139.0,184.0,602.0,590.0
4,40,8,35,3006,215.0,329.0,92.0,295.0,893.0,476.0,340.0,366.0,1533.0,1719.0
4,50,9,36,2572,172.0,225.0,73.0,247.0,780.0,424.0,318.0,333.0,1318.0,1532.0
4,50,9,37,3244,186.0,267.0,87.0,326.0,1111.0,514.0,381.0,372.0,1632.0,1927.0
4,50,9,38,3646,302.0,332.0,91.0,331.0,1229.0,470.0,392.0,499.0,1850.0,2135.0
4,50,9,39,2991,238.0,315.0,94.0,288.0,956.0,451.0,315.0,334.0,1550.0,1602.0
4,50,10,40,2664,150.0,224.0,64.0,222.0,870.0,394.0,367.0,373.0,1320.0,1595.0
4,50,10,41,2611,155.0,217.0,64.0,220.0,749.0,423.0,368.0,415.0,1215.0,1601.0
4,50,10,42,2053,137.0,195.0,34.0,162.0,662.0,318.0,272.0,273.0,991.0,1359.0
4,50,10,43,5040,361.0,505.0,127.0,404.0,1648.0,672.0,568.0,755.0,2529.0,2913.0
4,50,10,44,2258,133.0,170.0,62.0,220.0,700.0,325.0,308.0,340.0,1194.0,1312.0
4,50,10,45,4507,286.0,322.0,92.0,438.0,1480.0,720.0,565.0,604.0,2229.0,2818.0
4,50,11,46,2158,202.0,245.0,73.0,264.0,688.0,331.0,192.0,163.0,1004.0,1354.0
4,50,11,47,2439,157.0,247.0,64.0,263.0,779.0,373.0,270.0,286.0,1219.0,1447.0
4,50,11,48,1992,152.0,204.0,69.0,209.0,652.0,251.0,228.0,227.0,970.0,1122.0
4,50,11,49,3989,295.0,389.0,124.0,374.0,1303.0,591.0,411.0,502.0,1992.0,2418.0
4,50,11,50,1177,78.0,84.0,26.0,119.0,449.0,153.0,131.0,137.0,598.0,695.0
4,50,11,51,2528,158.0,272.0,81.0,259.0,866.0,360.0,261.0,271.0,1230.0,1449.0
4,50,11,52,3015,172.0,263.0,57.0,336.0,981.0,436.0,371.0,399.0,1493.0,1805.0
4,50,11,53,3395,242.0,378.0,100.0,338.0,1187.0,478.0,323.0,349.0,1672.0,1947.0
5,10,1,1,731,106.0,102.0,19.0,74.0,212.0,96.0,69.0,53.0,379.0,329.0
5,10,1,2,1071,111.0,132.0,40.0,106.0,331.0,129.0,97.0,125.0,552.0,640.0
