district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
4,50,9,39,6496,359.0,424.0,134.0,655.0,1762.0,852.0,941.0,1369.0,3390.0,1602.0
4,50,10,40,5998,234.0,374.0,115.0,499.0,1617.0,858.0,981.0,1320.0,3082.0,1595.0
4,50,10,41,5597,241.0,310.0,114.0,432.0,1306.0,856.0,933.0,1405.0,2737.0,1601.0
4,50,10,42,3581,164.0,237.0,45.0,285.0,1021.0,502.0,543.0,784.0,1719.0,1359.0
4,50,10,43,11048,507.0,698.0,221.0,922.0,2921.0,1430.0,1629.0,2720.0,5631.0,2913.0
4,50,10,44,5283,213.0,287.0,103.0,493.0,1276.0,692.0,790.0,1429.0,2749.0,1312.0
4,50,10,45,9334,404.0,489.0,144.0,792.0,2462.0,1350.0,1410.0,2283.0,4668.0,2818.0
4,50,11,46,4715,301.0,338.0,104.0,510.0,1409.0,643.0,587.0,823.0,2368.0,1354.0
4,50,11,47,5625,259.0,386.0,112.0,620.0,1596.0,798.0,819.0,1035.0,2848.0,1447.0
4,50,11,48,4436,226.0,302.0,112.0,465.0,1256.0,546.0,661.0,868.0,2253.0,1122.0
4,50,11,49,9834,463.0,598.0,212.0,911.0,2479.0,1348.0,1436.0,2387.0,5163.0,2418.0
4,50,11,50,3071,114.0,160.0,44.0,277.0,836.0,383.0,415.0,842.0,1613.0,695.0
4,50,11,51,7572,336.0,576.0,183.0,745.0,2094.0,1050.0,1054.0,1534.0,3894.0,1449.0
4,50,11,52,6913,268.0,415.0,119.0,622.0,1735.0,973.0,1033.0,1748.0,3469.0,1805.0
4,50,11,53,7489,387.0,540.0,148.0,748.0,2271.0,999.0,968.0,1428.0,3758.0,1947.0
5,10,1,1,4079,265.0,291.0,113.0,311.0,864.0,487.0,599.0,1149.0,2186.0,329.0
5,10,1,2,4390,214.0,269.0,70.0,396.0,898.0,490.0,715.0,1338.0,2337.0,640.0
5,10,1,3,5873,550.0,429.0,103.0,722.0,1913.0,644.0,626.0,886.0,2936.0,1674.0
5,10,1,4,4830,306.0,463.0,123.0,441.0,1246.0,568.0,553.0,1130.0,2525.0,888.0
5,10,1,5,7608,356.0,521.0,177.0,663.0,1628.0,988.0,1278.0,1997.0,3899.0,707.0
5,10,2,6,3619,232.0,451.0,147.0,377.0,714.0,362.0,437.0,899.0,1939.0,901.0
5,10,2,7,2314,85.0,153.0,65.0,274.0,500.0,337.0,492.0,408.0,1196.0,245.0
5,10,2,8,10703,736.0,1016.0,312.0,1012.0,2403.0,1256.0,1368.0,2600.0,5514.0,2608.0
5,10,2,9,11547,721.0,1173.0,360.0,1136.0,2638.0,1443.0,1550.0,2526.0,6004.0,2771.0
5,10,2,10,7709,442.0,614.0,142.0,832.0,2212.0,1015.0,1053.0,1399.0,3962.0,1783.0
5,10,2,11,6068,286.0,432.0,158.0,545.0,1224.0,844.0,965.0,1614.0,3062.0,994.0
5,10,3,12,4025,238.0,331.0,96.0,485.0,1134.0,521.0,548.0,672.0,2020.0,1046.0
5,10,3,13,5756,342.0,568.0,204.0,522.0,1283.0,673.0,617.0,1547.0,3027.0,1525.0
5,10,3,14,7335,523.0,740.0,180.0,947.0,2331.0,914.0,842.0,858.0,3447.0,3136.0
5,10,3,15,6753,435.0,529.0,173.0,843.0,2006.0,907.0,906.0,954.0,3279.0,1952.0
5,10,3,16,10341,662.0,767.0,255.0,1195.0,2956.0,1382.0,1403.0,1721.0,5272.0,2305.0
5,10,3,17,3670,258.0,329.0,84.0,398.0,1096.0,447.0,441.0,617.0,1770.0,1346.0
5,20,4,18,3839,185.0,335.0,121.0,408.0,622.0,663.0,878.0,627.0,1899.0,255.0
5,20,4,19,1694,56.0,91.0,33.0,133.0,322.0,221.0,288.0,550.0,880.0,29.0
5,20,4,20,5780,258.0,429.0,154.0,544.0,1091.0,816.0,1008.0,1480.0,2888.0,829.0
5,20,4,21,4386,275.0,438.0,140.0,472.0,1029.0,538.0,481.0,1013.0,2209.0,759.0
5,20,4,22,1057,78.0,124.0,24.0,134.0,260.0,150.0,170.0,117.0,521.0,93.0
5,20,4,23,6606,442.0,596.0,156.0,569.0,1519.0,729.0,824.0,1771.0,3537.0,1224.0
5,20,5,24,3367,210.0,369.0,114.0,372.0,720.0,547.0,504.0,531.0,1740.0,383.0
5,20,5,25,2431,158.0,215.0,52.0,190.0,545.0,337.0,369.0,565.0,1262.0,214.0
5,20,5,26,5734,432.0,757.0,198.0,584.0,1405.0,667.0,630.0,1061.0,2933.0,2234.0
5,20,5,27,11620,1011.0,1613.0,515.0,1262.0,2663.0,1368.0,1211.0,1977.0,5994.0,3911.0
5,20,5,28,7019,350.0,431.0,135.0,594.0,1322.0,807.0,1142.0,2238.0,3633.0,926.0
5,20,6,29,7858,442.0,489.0,162.0,876.0,2092.0,930.0,998.0,1869.0,4009.0,1910.0
5,20,6,30,9806,523.0,697.0,240.0,1066.0,2690.0,1361.0,1311.0,1918.0,4949.0,2246.0
5,20,6,31,8462,467.0,607.0,162.0,938.0,2443.0,1143.0,1247.0,1455.0,4253.0,2037.0
5,20,6,32,3739,224.0,387.0,134.0,415.0,866.0,489.0,527.0,697.0,1839.0,1116.0
5,20,6,33,2003,107.0,162.0,49.0,121.0,365.0,218.0,307.0,674.0,1114.0,251.0
5,20,6,34,4436,161.0,224.0,92.0,266.0,642.0,562.0,705.0,1784.0,2320.0,339.0
5,30,7,35,1925,195.0,199.0,68.0,265.0,570.0,309.0,187.0,132.0,950.0,375.0
5,30,7,36,3667,305.0,503.0,161.0,350.0,997.0,536.0,398.0,417.0,1878.0,845.0
5,30,7,37,10901,636.0,756.0,216.0,1017.0,2710.0,1314.0,1637.0,2615.0,5715.0,2341.0
5,30,8,38,21,0.0,0.0,0.0,0.0,0.0,6.0,12.0,3.0,9.0,0.0
5,30,8,39,7660,464.0,749.0,228.0,848.0,1869.0,1083.0,994.0,1425.0,3796.0,2203.0
5,30,8,40,486,23.0,30.0,12.0,38.0,148.0,64.0,67.0,104.0,250.0,131.0
5,30,8,41,4573,282.0,339.0,77.0,569.0,1466.0,490.0,560.0,790.0,2240.0,1192.0
5,40,9,42,3642,142.0,288.0,114.0,288.0,531.0,488.0,654.0,1137.0,1821.0,319.0
5,40,9,43,10315,680.0,1195.0,368.0,747.0,1888.0,1656.0,1496.0,2285.0,5227.0,619.0
5,40,9,44,2198,91.0,172.0,59.0,141.0,300.0,284.0,389.0,762.0,1115.0,142.0
5,40,9,45,3682,186.0,339.0,109.0,238.0,538.0,456.0,569.0,1247.0,1901.0,222.0
6,10,1,1,6988,274.0,483.0,181.0,691.0,1341.0,933.0,979.0,2106.0,3777.0,959.0
