district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,40,9,42,8643,100.0,4643.0,53.7,5477.0,63.4,4000.0,46.3,1477.0,17.1,3166.0,36.6
1,40,10,43,7739,100.0,5177.0,66.9,4641.0,60.0,2562.0,33.1,2079.0,26.9,3098.0,40.0
1,40,10,44,10224,100.0,6893.0,67.4,5765.0,56.4,3331.0,32.6,2434.0,23.8,4459.0,43.6
1,40,10,45,5722,100.0,4174.0,72.9,3102.0,54.2,1548.0,27.1,1554.0,27.2,2620.0,45.8
1,40,10,46,8781,100.0,4327.0,49.3,6025.0,68.6,4454.0,50.7,1571.0,17.9,2756.0,31.4
1,40,10,47,7867,100.0,5469.0,69.5,3869.0,49.2,2398.0,30.5,1471.0,18.7,3998.0,50.8
1,40,10,48,9098,100.0,5365.0,59.0,5706.0,62.7,3733.0,41.0,1973.0,21.7,3392.0,37.3
1,40,10,49,6689,100.0,4094.0,61.2,3875.0,57.9,2595.0,38.8,1280.0,19.1,2814.0,42.1
2,10,1,1,6281,100.0,4366.0,69.5,3741.0,59.6,1915.0,30.5,1826.0,29.1,2540.0,40.4
2,10,1,2,8647,100.0,6148.0,71.1,5628.0,65.1,2499.0,28.9,3129.0,36.2,3019.0,34.9
2,10,1,3,5382,100.0,3410.0,63.4,3642.0,67.7,1972.0,36.6,1670.0,31.0,1740.0,32.3
2,10,1,4,5567,100.0,3859.0,69.3,3493.0,62.7,1708.0,30.7,1785.0,32.1,2074.0,37.3
2,10,1,5,9604,100.0,6843.0,71.3,6275.0,65.3,2761.0,28.7,3514.0,36.6,3329.0,34.7
2,10,1,6,5009,100.0,3273.0,65.3,3411.0,68.1,1736.0,34.7,1675.0,33.4,1598.0,31.9
2,20,2,7,2067,100.0,829.0,40.1,1587.0,76.8,1238.0,59.9,349.0,16.9,480.0,23.2
2,20,2,8,6008,100.0,2663.0,44.3,4317.0,71.9,3345.0,55.7,972.0,16.2,1691.0,28.1
2,20,2,9,10969,100.0,4456.0,40.6,8242.0,75.1,6513.0,59.4,1729.0,15.8,2727.0,24.9
2,20,2,10,12384,100.0,5420.0,43.8,8951.0,72.3,6964.0,56.2,1987.0,16.0,3433.0,27.7
2,20,2,11,14760,100.0,6176.0,41.8,11116.0,75.3,8584.0,58.2,2532.0,17.2,3644.0,24.7
2,20,2,12,8602,100.0,4332.0,50.4,6268.0,72.9,4270.0,49.6,1998.0,23.2,2334.0,27.1
2,20,2,13,10284,100.0,4687.0,45.6,7279.0,70.8,5597.0,54.4,1682.0,16.4,3005.0,29.2
2,30,3,14,7587,100.0,4625.0,61.0,4792.0,63.2,2962.0,39.0,1830.0,24.1,2795.0,36.8
2,30,3,15,8723,100.0,5039.0,57.8,5684.0,65.2,3684.0,42.2,2000.0,22.9,3039.0,34.8
2,30,3,16,4215,100.0,2081.0,49.4,2993.0,71.0,2134.0,50.6,859.0,20.4,1222.0,29.0
2,30,4,17,8433,100.0,4646.0,55.1,5540.0,65.7,3787.0,44.9,1753.0,20.8,2893.0,34.3
2,30,4,18,7710,100.0,3702.0,48.0,5364.0,69.6,4008.0,52.0,1356.0,17.6,2346.0,30.4
2,30,4,19,10903,100.0,5590.0,51.3,7269.0,66.7,5313.0,48.7,1956.0,17.9,3634.0,33.3
2,40,5,20,5451,100.0,1726.0,31.7,4487.0,82.3,3725.0,68.3,762.0,14.0,964.0,17.7
2,40,5,21,7858,100.0,2670.0,34.0,6179.0,78.6,5188.0,66.0,991.0,12.6,1679.0,21.4
2,40,5,22,11262,100.0,3329.0,29.6,9130.0,81.1,7933.0,70.4,1197.0,10.6,2132.0,18.9
2,40,6,23,13307,100.0,6080.0,45.7,9371.0,70.4,7227.0,54.3,2144.0,16.1,3936.0,29.6
2,40,6,24,11314,100.0,3783.0,33.4,8607.0,76.1,7531.0,66.6,1076.0,9.5,2707.0,23.9
2,40,6,25,1136,100.0,782.0,68.8,445.0,39.2,354.0,31.2,91.0,8.0,691.0,60.8
