district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
2,50,8,36,1078,322.0,29.0,9.0,37.0,21.0,28.0,65.0,12.0,15.0,6.0,56.0,51.0,6.0,30,142.0,55.0,32.0,19.0,156.0,42.0,12.0,54.0,6.0,13.0,49.0,40.0,43.0
3,10,1,1,777,303.0,9.0,4.0,16.0,28.0,9.0,93.0,57.0,19.0,10.0,13.0,53.0,19.0,15,140.0,58.0,20.0,10.0,195.0,40.0,15.0,76.0,0.0,20.0,0.0,16.0,3.0
3,10,1,2,874,149.0,6.0,3.0,9.0,5.0,3.0,64.0,17.0,3.0,14.0,8.0,39.0,3.0,3,106.0,48.0,15.0,16.0,364.0,59.0,22.0,148.0,9.0,54.0,183.0,3.0,9.0
3,10,1,3,1656,348.0,0.0,15.0,7.0,0.0,13.0,190.0,18.0,23.0,3.0,3.0,77.0,21.0,22,360.0,158.0,52.0,57.0,753.0,30.0,25.0,353.0,15.0,140.0,52.0,14.0,20.0
3,20,2,4,127,67.0,0.0,3.0,6.0,7.0,6.0,19.0,3.0,9.0,0.0,0.0,3.0,0.0,3,15.0,0.0,9.0,0.0,15.0,6.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0
3,20,2,5,1393,610.0,40.0,21.0,48.0,41.0,15.0,199.0,62.0,52.0,24.0,56.0,54.0,3.0,15,144.0,41.0,16.0,21.0,255.0,72.0,22.0,94.0,3.0,26.0,37.0,80.0,46.0
3,20,2,6,1242,480.0,39.0,67.0,41.0,40.0,31.0,105.0,26.0,51.0,19.0,19.0,40.0,9.0,9,149.0,65.0,31.0,15.0,228.0,19.0,21.0,100.0,3.0,39.0,6.0,76.0,6.0
3,20,2,7,1922,617.0,42.0,21.0,64.0,19.0,9.0,196.0,48.0,72.0,12.0,35.0,135.0,47.0,37,303.0,133.0,64.0,21.0,499.0,155.0,29.0,216.0,31.0,86.0,21.0,28.0,61.0
3,20,3,8,672,214.0,10.0,9.0,18.0,3.0,30.0,68.0,15.0,16.0,16.0,0.0,40.0,0.0,13,209.0,93.0,23.0,48.0,157.0,39.0,13.0,32.0,3.0,19.0,16.0,3.0,16.0
3,20,3,9,778,262.0,3.0,13.0,24.0,19.0,0.0,128.0,18.0,8.0,5.0,7.0,36.0,3.0,16,112.0,49.0,15.0,21.0,234.0,44.0,0.0,139.0,3.0,75.0,17.0,21.0,21.0
3,20,3,10,1250,411.0,14.0,19.0,18.0,12.0,6.0,200.0,37.0,7.0,9.0,13.0,53.0,22.0,3,355.0,149.0,34.0,59.0,343.0,53.0,3.0,138.0,13.0,48.0,3.0,15.0,52.0
3,30,4,11,2264,535.0,33.0,21.0,25.0,21.0,30.0,226.0,42.0,21.0,12.0,3.0,88.0,13.0,25,553.0,253.0,59.0,124.0,880.0,60.0,37.0,433.0,15.0,237.0,74.0,9.0,18.0
3,30,4,12,485,199.0,3.0,3.0,12.0,6.0,10.0,66.0,24.0,12.0,3.0,13.0,9.0,0.0,3,132.0,53.0,6.0,26.0,98.0,0.0,0.0,30.0,3.0,12.0,3.0,12.0,3.0
3,30,4,13,288,117.0,3.0,10.0,3.0,6.0,3.0,57.0,3.0,3.0,6.0,6.0,40.0,0.0,22,61.0,21.0,9.0,16.0,43.0,7.0,0.0,17.0,7.0,3.0,0.0,9.0,6.0
3,30,5,14,603,218.0,15.0,18.0,7.0,15.0,3.0,95.0,6.0,12.0,0.0,13.0,25.0,3.0,16,108.0,21.0,12.0,37.0,172.0,27.0,6.0,54.0,3.0,3.0,36.0,3.0,13.0
3,30,5,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,30,5,16,1591,372.0,28.0,4.0,31.0,24.0,5.0,95.0,54.0,30.0,6.0,18.0,63.0,7.0,24,143.0,54.0,24.0,6.0,714.0,87.0,15.0,345.0,25.0,138.0,51.0,12.0,35.0
3,30,5,17,48,22.0,7.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
3,40,6,18,999,288.0,27.0,9.0,10.0,15.0,9.0,130.0,28.0,7.0,13.0,6.0,51.0,3.0,22,180.0,68.0,13.0,53.0,350.0,195.0,0.0,57.0,12.0,18.0,18.0,10.0,86.0
3,40,6,19,1998,715.0,62.0,21.0,54.0,19.0,22.0,234.0,64.0,27.0,36.0,34.0,95.0,18.0,25,263.0,98.0,71.0,42.0,546.0,204.0,39.0,162.0,17.0,64.0,16.0,28.0,105.0
3,40,6,20,652,231.0,16.0,6.0,9.0,19.0,12.0,72.0,12.0,16.0,6.0,33.0,33.0,12.0,9,92.0,27.0,6.0,19.0,155.0,57.0,3.0,43.0,3.0,19.0,15.0,21.0,25.0
3,40,7,21,2316,919.0,107.0,30.0,135.0,55.0,66.0,197.0,41.0,28.0,37.0,90.0,105.0,13.0,25,348.0,157.0,75.0,19.0,384.0,77.0,30.0,185.0,16.0,69.0,33.0,70.0,63.0
