id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01044202,16972,9897,10058,7075,2983,6914,16972,933,1032,328,3101,6968,1915,1489,1206,7761,6914,9897,675,849,277,1904,3954,1076,695,467,4421,6914,9897,3151,200,198,284,102,176,147,773,560,193,88,516,103,176,458,165,80,52,3828,1572,76,1465,375,277,84,150,536
01044203,16498,9810,9937,6688,3249,6561,16498,919,1205,354,2303,5819,2025,1655,2218,7718,6561,9810,720,1029,277,1358,3447,1292,813,874,4486,6561,9810,3279,204,243,213,77,127,100,736,698,308,118,682,168,244,387,156,63,40,4193,2585,62,1117,334,225,55,101,541
02010101,6628,4702,3787,1926,1861,2841,6628,401,534,178,1153,2339,826,605,592,2980,2841,4702,350,490,152,810,1689,595,341,275,2159,2841,4702,962,50,61,123,36,59,44,199,117,68,44,175,59,47,444,195,89,42,2178,908,138,887,251,132,54,52,339
02010102,13473,9189,8965,4284,4681,4508,13473,930,1376,452,1737,4030,1843,1333,1772,6640,4508,9189,772,1280,370,1074,2826,1302,765,800,4552,4508,9189,1542,114,119,165,60,74,88,310,199,72,93,395,109,127,597,220,119,30,5009,2947,81,1719,585,276,40,137,1085
02010103,15349,10797,9896,4552,5344,5453,15349,1104,1587,513,1935,4407,2224,1558,2021,7572,5453,10797,993,1446,423,1279,3307,1594,847,908,5240,5453,10797,1356,95,110,167,63,73,63,354,188,29,32,346,135,104,278,96,53,27,6882,5519,60,1014,259,229,63,61,1397
02010104,5000,3245,3367,1755,1612,1633,5000,269,541,179,586,1487,738,599,601,2490,1633,3245,215,454,149,360,1011,473,304,279,1572,1633,3245,487,51,43,66,29,49,34,59,77,19,4,40,12,12,27,12,9,0,2001,1435,24,506,141,101,7,58,438
02020201,1306,571,978,735,243,328,1306,149,103,18,80,562,162,123,109,618,328,571,81,70,15,41,258,47,24,35,259,328,571,189,18,7,12,16,3,25,31,9,14,4,7,0,0,80,41,19,4,126,40,9,70,6,0,7,14,20
02020202,6003,2616,4316,3387,929,1687,6003,388,497,138,683,2030,916,706,645,2877,1687,2616,203,255,73,370,957,340,210,208,1251,1687,2616,903,127,44,111,36,55,84,116,63,29,66,145,40,21,120,55,19,17,916,405,24,410,88,128,9,120,151
02020203,10999,4317,8349,6682,1667,2650,10999,734,753,172,1062,4201,1622,1316,1139,5381,2650,4317,354,384,91,523,1788,558,357,262,2104,2650,4317,1727,197,81,306,100,116,183,271,49,28,80,240,54,63,150,72,12,13,1157,626,29,378,131,80,13,200,247
02020204,12753,5443,9298,7310,1988,3455,12753,787,804,262,1360,4876,1900,1536,1228,6182,3455,5443,406,413,146,692,2247,692,436,411,2565,3455,5443,2164,192,117,268,100,188,223,345,135,128,98,303,42,125,255,106,45,19,1576,957,69,447,85,116,31,215,289
02020205,14843,5961,11271,8882,2389,3572,14843,800,968,328,1580,5134,2451,2017,1565,7356,3572,5961,402,523,167,770,2243,844,503,509,2903,3572,5961,2109,281,134,299,140,170,240,205,51,67,117,280,48,35,169,88,35,3,1860,1333,56,345,77,85,12,399,395
02020206,19024,8738,13806,10286,3520,5218,19024,1250,1444,387,1876,7246,2775,2163,1883,9464,5218,8738,652,911,257,1023,3495,1139,634,627,4268,5218,8738,3097,383,157,444,185,250,308,356,218,85,97,372,82,100,275,109,41,10,3182,1921,59,1015,522,100,15,357,511
02030301,9043,5717,5608,3326,2282,3435,9043,466,705,235,1013,3181,1454,992,997,4340,3435,5717,328,571,191,655,1897,868,502,705,2787,3435,5717,1065,161,59,143,64,83,121,92,75,48,26,145,68,29,76,23,19,4,3304,2910,24,313,73,55,13,117,647
02030302,13115,7123,8832,5992,2840,4283,13115,743,1011,326,1386,4802,1977,1544,1326,6350,4283,7123,466,726,208,839,2676,964,588,656,3442,4283,7123,1782,223,89,243,132,147,193,163,129,28,61,199,35,70,142,54,27,7,3515,2931,43,438,82,111,15,201,667
