id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
050103,05,01,03,100.0,4977.0,99.0,161.0,330.0,83.0,94.0,1671.0,959.0,627.0,398.0,127.0,1794.0000000000002,400.0,579.0,1882.9999999999998,739.0,227.0,289.0,7108.0,2883.0,235.0,2622.0,429.0,893.0,171.0,119.0,1107.0
050204,05,02,04,100.0,2007.0,33.0,57.99999999999999,87.0,73.0,40.0,984.0,227.0,153.0,154.0,119.0,594.0,121.0,130.0,828.9999999999999,339.0,85.0,188.0,2358.0,779.0,110.00000000000001,818.0,73.0,328.0,115.99999999999999,51.0,395.0
050205,05,02,05,100.0,3921.0,56.00000000000001,119.0,202.0,69.0,57.99999999999999,1785.0000000000002,780.0,400.0,129.0,113.99999999999999,977.9999999999999,213.0,445.0,2206.0,1009.0,238.0,590.0,5951.0,1769.0000000000002,446.0,2207.0,323.0,942.0,95.0,42.0,658.0
050206,05,02,06,100.0,3981.0,103.0,142.0,294.0,85.0,117.0,1483.0,522.0,525.0,331.0,168.0,1475.0,302.0,459.99999999999994,1129.0,475.0,168.0,161.0,4732.0,1669.0000000000002,254.0,1971.0,225.0,716.0,194.0,110.00000000000001,675.0
050307,05,03,07,100.0,2313.0,38.0,73.0,99.0,37.0,27.0,1489.0,92.0,108.0,146.0,53.0,467.0,102.0,109.00000000000001,955.0000000000001,444.00000000000006,122.0,209.0,2933.0,1501.0,143.0,808.0,196.0,192.0,64.0,18.0,705.0
050308,05,03,08,100.0,1714.9999999999998,53.0,57.99999999999999,155.0,27.0,33.0,785.0,145.0,117.0,140.0,33.0,663.0,67.0,278.0,363.0,127.0,68.0,46.0,2253.0,953.9999999999999,123.0,817.0,107.0,238.0,105.0,32.0,519.0
050409,05,04,09,100.0,1238.0,61.0,42.0,98.0,104.0,55.00000000000001,459.0,51.0,36.0,73.0,123.0,179.0,15.0,49.0,470.0,218.00000000000003,65.0,57.99999999999999,982.0,289.0,187.0,274.0,18.0,74.0,32.0,72.0,204.99999999999997
060101,06,01,01,100.0,2474.0,150.0,183.0,321.0,147.0,98.0,668.0,129.0,169.0,200.0,174.0,638.0,103.0,189.0,651.0,271.0,133.0,49.0,1504.0,604.0,157.0,454.0,75.0,105.0,67.0,261.0,419.00000000000006
060102,06,01,02,100.0,5574.0,280.0,438.0,593.0,271.0,151.0,1957.0,283.0,282.0,483.0,242.0,1673.0,370.0,463.99999999999994,1777.0,667.0,430.0,114.99999999999999,4709.0,1948.9999999999998,455.99999999999994,1621.0,260.0,430.0,181.0,499.0,1134.0
060203,06,02,03,100.0,4163.0,150.0,250.0,267.0,179.0,100.0,1920.0,199.0,272.0,328.0,99.0,1210.0,307.0,364.0,1358.0,526.0,289.0,175.0,4051.0,1714.9999999999998,293.0,1277.0,250.99999999999997,332.0,104.0,229.0,840.0
