id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
12214421,12,21,44,21,100.0,120.0,128.0,34.0,124.0,385.0,146.0,91.0,63.0,509.0,675.0
12214422,12,21,44,22,100.0,496.0,689.0,213.0,652.0,1427.0,624.0,436.00000000000006,411.00000000000006,2374.0,2942.0
12214423,12,21,44,23,100.0,222.00000000000003,277.0,73.0,247.00000000000003,782.0,324.0,270.0,247.00000000000003,1192.0,1289.0
12214424,12,21,44,24,100.0,539.0,722.0,212.0,637.0,1830.9999999999998,791.0,520.0,399.0,2645.0,3447.9999999999995
12214527,12,21,45,27,100.0,231.99999999999997,262.0,74.0,280.0,832.0,368.0,234.0,347.0,1319.0,1512.0
12214528,12,21,45,28,100.0,9.0,3.0,21.0,39.0,18.0,5.0,3.0,17.0,44.0,73.0
12224229,12,22,42,29,100.0,75.0,132.0,48.0,68.0,181.0,126.0,115.99999999999999,96.0,440.00000000000006,341.0
12224230,12,22,42,30,100.0,243.00000000000003,390.0,118.0,219.0,558.0,376.0,288.0,351.0,1327.0,1008.0
12231101,12,23,11,01,100.0,235.0,333.0,96.0,229.99999999999997,607.0,371.0,263.0,339.0,1279.0,1148.0
12231102,12,23,11,02,100.0,206.99999999999997,357.0,120.0,171.0,492.0,321.0,276.0,331.0,1219.0,915.0
12301203,12,30,12,03,100.0,426.99999999999994,509.99999999999994,142.0,602.0,1535.0,629.0,438.99999999999994,426.99999999999994,2086.0,2898.0
12301204,12,30,12,04,100.0,149.0,214.0,78.0,186.0,391.0,217.0,161.0,156.0,794.0,743.0
12301205,12,30,12,05,100.0,100.0,134.0,21.0,104.0,292.0,153.0,82.0,97.0,491.0,442.0
12301206,12,30,12,06,100.0,76.0,166.0,46.0,63.0,209.0,135.0,88.0,105.0,429.0,313.0
12302107,12,30,21,07,100.0,108.0,153.0,75.0,130.0,385.0,202.0,149.0,129.0,646.0,564.0
12302108,12,30,21,08,100.0,761.0,1170.0,375.0,680.0,1798.9999999999998,856.0,564.0,503.0,3371.0,3338.0000000000005
12302109,12,30,21,09,100.0,705.0,1093.0,324.0,581.0,1734.0,707.0,522.0,463.0,3046.0,3059.0
12302110,12,30,21,10,100.0,658.0,1163.0,323.0,691.0,1623.9999999999998,784.0,474.0,363.0,3006.0,3198.0
12302211,12,30,22,11,100.0,74.0,79.0,54.0,108.0,236.0,150.0,143.0,128.0,474.0,426.0
12302212,12,30,22,12,100.0,372.0,543.0,158.0,336.0,802.9999999999999,329.0,212.0,180.0,1435.0,1854.0
12304313,12,30,43,13,100.0,186.0,173.0,40.0,258.0,622.0,224.00000000000003,151.0,144.0,851.0,1158.0
12304314,12,30,43,14,100.0,119.0,172.0,37.0,148.0,448.00000000000006,233.0,158.0,219.0,807.0,761.0
