district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
4,3,6,20,8928,434.0,513.0,154.0,888.0,2560.0,1184.0,1215.0,1980.0,4634.0,2425.0
4,3,6,21,3172,136.0,186.0,57.0,431.0,1155.0,421.0,390.0,396.0,1461.0,1177.0
4,3,6,22,10910,577.0,614.0,188.0,1122.0,3215.0,1423.0,1437.0,2334.0,5568.0,3105.0
4,3,6,23,5071,295.0,302.0,78.0,571.0,1629.0,649.0,600.0,947.0,2624.0,1673.0
4,3,7,24,6576,298.0,345.0,128.0,653.0,1636.0,841.0,935.0,1740.0,3516.0,1562.0
4,3,7,25,12431,610.0,738.0,289.0,1409.0,3524.0,1770.0,1773.0,2318.0,6314.0,3339.0
4,3,7,26,5735,282.0,305.0,133.0,530.0,1425.0,854.0,806.0,1400.0,2972.0,1635.0
4,3,8,27,12303,601.0,741.0,211.0,1472.0,3754.0,1699.0,1613.0,2212.0,6053.0,4432.0
4,3,8,28,9671,402.0,466.0,158.0,1022.0,2726.0,1425.0,1431.0,2041.0,4840.0,2952.0
4,3,9,29,6061,248.0,378.0,108.0,495.0,1618.0,875.0,1011.0,1328.0,3112.0,1641.0
4,3,9,30,5736,249.0,320.0,101.0,472.0,1320.0,902.0,909.0,1463.0,2826.0,1697.0
4,3,9,31,3725,180.0,217.0,60.0,272.0,1078.0,547.0,512.0,859.0,1799.0,1488.0
4,3,10,32,15756,713.0,863.0,288.0,1411.0,4190.0,2182.0,2259.0,3850.0,8053.0,4195.0
4,4,11,33,106,0.0,0.0,3.0,25.0,40.0,23.0,3.0,12.0,34.0,72.0
4,4,11,34,5323,271.0,422.0,114.0,393.0,1103.0,801.0,705.0,1514.0,2740.0,1189.0
4,4,11,35,2811,109.0,203.0,70.0,190.0,470.0,393.0,407.0,969.0,1477.0,574.0
4,4,11,36,3130,160.0,229.0,98.0,211.0,556.0,426.0,427.0,1023.0,1673.0,630.0
4,4,11,37,8338,402.0,537.0,157.0,727.0,2034.0,1176.0,1181.0,2124.0,4458.0,1807.0
4,4,12,38,6114,331.0,526.0,125.0,486.0,1198.0,879.0,766.0,1803.0,3295.0,1050.0
4,4,12,39,319,35.0,28.0,9.0,55.0,101.0,42.0,37.0,12.0,126.0,212.0
4,4,12,40,1544,48.0,112.0,50.0,129.0,203.0,232.0,225.0,545.0,838.0,218.0
4,4,12,41,7042,277.0,495.0,129.0,555.0,1299.0,1039.0,1048.0,2200.0,3852.0,1033.0
4,4,13,42,4200,176.0,238.0,61.0,274.0,793.0,523.0,664.0,1471.0,2237.0,803.0
4,4,13,43,3579,154.0,213.0,79.0,324.0,750.0,531.0,564.0,964.0,1913.0,607.0
