id,district_id,forecast_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
0405,04,05,100.0,12490.0,1063.0,814.0,1395.0,608.0,614.0,778.0,2703.0,614.0,694.0,784.0,2298.0,363.0,660.0,4686.0,1811.0,1043.0,193.0,7909.0,2484.0,777.0,3339.0,407.0,899.0,382.0,1215.0,1732.9999999999998
0406,04,06,100.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0
0501,05,01,100.0,12417.0,181.0,319.0,659.0,206.99999999999997,200.99999999999997,434.0,5524.0,1521.0,1349.0,764.0,3615.0,827.9999999999999,1284.0,6141.0,2654.0,720.0,1443.0,16878.0,6722.0,661.0,5603.0,930.0000000000001,1971.0,288.0,231.99999999999997,2685.0
0502,05,02,100.0,10143.0,224.00000000000003,308.0,538.0,218.00000000000003,192.0,437.0,4206.0,1460.0,1060.0,607.0,2928.0,650.0,994.9999999999999,4294.0,1910.0000000000002,498.00000000000006,1011.0,12324.0,4046.0,759.0,4622.0,590.0,1780.9999999999998,380.0,217.0,1754.0
0503,05,03,100.0,4085.0,78.0,119.0,245.00000000000003,68.0,67.0,100.0,2268.0,242.0,204.99999999999997,296.0,1090.0,130.0,396.0,1325.0,559.0,184.0,279.0,4963.0,2416.0,245.00000000000003,1491.0,325.0,357.0,190.0,65.0,1193.0
0504,05,04,100.0,1411.0,78.0,53.0,101.0,112.99999999999999,47.0,112.99999999999999,457.0,45.0,44.0,69.0,172.0,9.0,33.0,409.99999999999994,211.0,57.99999999999999,48.0,941.0,250.99999999999997,176.0,315.0,15.0,123.0,36.0,67.0,196.0
0601,06,01,100.0,8388.0,442.0,615.0,851.0,409.99999999999994,254.0,445.0,2542.0,429.0,455.99999999999994,695.0,2253.0,475.0,610.0,2293.0,856.0,559.0,164.0,5929.0,2481.0,599.0,1985.0000000000002,314.0,527.0,266.0,741.0,1559.0
0602,06,02,100.0,7548.0,214.0,459.99999999999994,476.0,291.0,241.0,262.0,3478.0,336.0,408.0,476.99999999999994,1912.0,490.00000000000006,548.0,2303.0,927.0,451.0,294.0,6895.0,2541.0,532.0,2392.0,438.0,765.0,198.0,673.0,1296.0
0603,06,03,100.0,7697.0,484.99999999999994,550.0,691.0,447.0,324.0,501.99999999999994,2079.0,339.0,468.0,501.99999999999994,1471.0,245.00000000000003,418.0,2037.0,839.0,401.0,161.0,5826.0,1484.0,864.0,2185.0,185.0,843.0,117.0,1561.0,1067.0
0604,06,04,100.0,6174.0,529.0,283.0,474.0,542.0,282.0,606.0,1488.0,199.0,238.0,150.0,589.0,99.0,202.0,1939.9999999999998,797.0,357.0,100.0,3358.0,750.0,559.0,1176.0,112.99999999999999,315.0,107.0,1719.0000000000002,578.0
0701,07,01,100.0,7703.0,732.0,512.0,1077.0,306.0,447.0,533.0,1333.0,474.0,531.0,329.0,1463.0,283.0,594.0,3015.0,976.0,905.0000000000001,109.00000000000001,9509.0,4973.0,364.0,3279.9999999999995,650.0,941.0,187.0,729.0,1692.0000000000002
