district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
4,30,5,18,2704,900.0,58.0,42.0,105.0,65.0,33.0,304.0,57.0,66.0,37.0,35.0,144.0,47.0,45,203.0,76.0,53.0,4.0,784.0,303.0,91.0,261.0,63.0,68.0,57.0,53.0,189.0
4,30,6,19,3963,1250.0,111.0,102.0,123.0,45.0,49.0,335.0,69.0,80.0,98.0,67.0,317.0,49.0,120,525.0,217.0,110.0,24.0,1021.0,337.0,151.0,407.0,79.0,51.0,37.0,89.0,273.0
4,30,6,20,2027,591.0,52.0,34.0,73.0,28.0,22.0,147.0,41.0,41.0,28.0,28.0,130.0,29.0,51,342.0,118.0,128.0,10.0,500.0,240.0,30.0,132.0,31.0,16.0,27.0,40.0,136.0
4,30,6,21,5147,1608.0,122.0,113.0,169.0,94.0,80.0,350.0,121.0,127.0,118.0,116.0,387.0,42.0,161,626.0,204.0,189.0,42.0,1373.0,527.0,192.0,473.0,104.0,129.0,74.0,131.0,341.0
4,30,6,22,3004,703.0,78.0,55.0,73.0,31.0,47.0,171.0,55.0,29.0,35.0,34.0,148.0,23.0,33,648.0,227.0,226.0,34.0,842.0,301.0,111.0,301.0,59.0,55.0,66.0,45.0,184.0
4,30,6,23,6562,2053.0,175.0,143.0,286.0,84.0,128.0,370.0,171.0,162.0,130.0,141.0,508.0,70.0,195,653.0,232.0,126.0,39.0,1735.0,579.0,157.0,635.0,132.0,104.0,121.0,164.0,238.0
4,30,6,24,4287,1402.0,160.0,90.0,217.0,91.0,124.0,240.0,54.0,84.0,55.0,173.0,323.0,34.0,181,360.0,120.0,97.0,21.0,805.0,239.0,107.0,301.0,45.0,60.0,48.0,229.0,177.0
4,40,7,25,85,50.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,35.0,0.0,3.0,0.0,0.0,0,3.0,3.0,0.0,0.0,12.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
4,40,7,26,2295,743.0,88.0,31.0,71.0,64.0,48.0,126.0,50.0,103.0,31.0,51.0,97.0,3.0,35,443.0,180.0,100.0,19.0,479.0,133.0,88.0,155.0,6.0,30.0,3.0,121.0,102.0
4,40,7,27,3279,1012.0,74.0,51.0,70.0,34.0,31.0,399.0,63.0,58.0,73.0,69.0,286.0,66.0,67,589.0,216.0,145.0,26.0,721.0,208.0,111.0,259.0,43.0,54.0,24.0,102.0,160.0
4,40,7,28,1152,365.0,32.0,20.0,41.0,25.0,14.0,104.0,4.0,15.0,10.0,19.0,54.0,7.0,13,343.0,166.0,59.0,9.0,182.0,56.0,53.0,21.0,3.0,6.0,0.0,39.0,28.0
4,40,7,29,1061,287.0,6.0,13.0,26.0,16.0,19.0,82.0,16.0,29.0,22.0,28.0,49.0,15.0,12,325.0,145.0,98.0,16.0,163.0,34.0,43.0,42.0,0.0,4.0,10.0,53.0,44.0
4,40,8,30,2790,744.0,42.0,32.0,73.0,50.0,45.0,237.0,47.0,44.0,38.0,37.0,137.0,15.0,51,540.0,203.0,149.0,10.0,761.0,190.0,126.0,287.0,22.0,83.0,50.0,57.0,181.0
4,40,8,31,407,128.0,15.0,3.0,12.0,6.0,6.0,28.0,6.0,6.0,0.0,10.0,16.0,3.0,4,94.0,26.0,19.0,6.0,74.0,3.0,12.0,33.0,4.0,6.0,3.0,28.0,15.0
4,40,8,32,1811,661.0,85.0,45.0,74.0,29.0,36.0,169.0,7.0,79.0,28.0,27.0,101.0,18.0,39,246.0,83.0,69.0,11.0,423.0,96.0,86.0,155.0,18.0,25.0,10.0,62.0,98.0
4,40,8,33,1521,486.0,18.0,18.0,37.0,15.0,12.0,250.0,24.0,21.0,30.0,22.0,92.0,17.0,29,192.0,69.0,46.0,13.0,430.0,139.0,83.0,149.0,11.0,55.0,9.0,42.0,85.0
4,40,8,34,1131,345.0,28.0,15.0,35.0,10.0,21.0,96.0,16.0,13.0,31.0,28.0,68.0,12.0,12,174.0,63.0,50.0,9.0,232.0,93.0,24.0,44.0,6.0,6.0,0.0,65.0,68.0
4,40,8,35,2961,1012.0,141.0,82.0,89.0,60.0,49.0,222.0,29.0,54.0,56.0,54.0,174.0,37.0,53,338.0,155.0,71.0,21.0,555.0,174.0,78.0,229.0,31.0,60.0,24.0,196.0,139.0
4,50,9,36,2523,803.0,75.0,51.0,111.0,52.0,42.0,169.0,43.0,81.0,19.0,55.0,127.0,15.0,60,391.0,119.0,95.0,15.0,680.0,157.0,67.0,349.0,38.0,108.0,24.0,91.0,101.0
4,50,9,37,3223,1140.0,112.0,49.0,123.0,70.0,60.0,291.0,77.0,74.0,47.0,104.0,173.0,18.0,66,517.0,184.0,130.0,32.0,589.0,167.0,117.0,191.0,18.0,44.0,33.0,121.0,150.0
4,50,9,38,3546,1135.0,117.0,93.0,156.0,38.0,44.0,294.0,58.0,67.0,61.0,79.0,232.0,39.0,98,587.0,230.0,127.0,9.0,706.0,191.0,110.0,290.0,36.0,33.0,61.0,114.0,143.0
4,50,9,39,2973,816.0,48.0,44.0,60.0,43.0,31.0,257.0,63.0,58.0,56.0,34.0,224.0,41.0,66,542.0,190.0,125.0,39.0,785.0,242.0,100.0,294.0,28.0,58.0,25.0,75.0,200.0
4,50,10,40,2572,849.0,98.0,50.0,92.0,66.0,80.0,176.0,52.0,56.0,35.0,66.0,166.0,27.0,61,291.0,109.0,103.0,16.0,473.0,149.0,63.0,193.0,20.0,30.0,21.0,159.0,114.0
4,50,10,41,2491,834.0,104.0,56.0,120.0,59.0,66.0,154.0,25.0,26.0,21.0,95.0,107.0,6.0,74,344.0,105.0,46.0,10.0,521.0,173.0,71.0,172.0,34.0,31.0,52.0,129.0,101.0
4,50,10,42,2045,650.0,70.0,37.0,72.0,45.0,30.0,117.0,13.0,125.0,13.0,76.0,100.0,16.0,38,306.0,107.0,88.0,13.0,419.0,109.0,32.0,191.0,29.0,50.0,34.0,81.0,96.0
4,50,10,43,5029,1653.0,162.0,101.0,195.0,105.0,96.0,320.0,123.0,112.0,87.0,122.0,299.0,55.0,77,1037.0,400.0,265.0,25.0,825.0,270.0,142.0,252.0,24.0,59.0,39.0,204.0,190.0
4,50,10,44,2206,815.0,84.0,55.0,91.0,48.0,44.0,181.0,52.0,55.0,24.0,46.0,115.0,26.0,33,331.0,144.0,74.0,10.0,341.0,96.0,52.0,104.0,25.0,21.0,37.0,62.0,80.0
4,50,10,45,4315,1487.0,127.0,131.0,186.0,69.0,69.0,325.0,71.0,103.0,93.0,102.0,243.0,36.0,58,603.0,239.0,138.0,30.0,982.0,311.0,145.0,343.0,40.0,92.0,27.0,171.0,191.0
